date,pair,action,signal,shares_a,shares_b,price_a,price_b,cost,old_signal,pnl
2023-01-13,GLD/GDX,OPEN,-1.0,-55.94,101.33,178.75999450683594,31.5208683013916,12.555259389408866,,
2023-02-01,HYG/JNK,OPEN,-1.0,-157.11,117.89,63.64814758300781,76.23172760009766,17.189562195720264,,
2023-02-06,HYG/JNK,CLOSE,,,,,,17.031108313109648,-1.0,8.980919999146986
2023-02-10,HYG/JNK,OPEN,1.0,161.27,-120.83,62.00635528564453,74.375,17.189562195720264,,
2023-03-03,HYG/JNK,CLOSE,,,,,,17.261799037482437,1.0,-2.2153246904747412
2023-03-03,TLT/IEF,OPEN,-1.0,-111.11,258.89,90.0031509399414,85.42556762695312,27.987160826859256,,
2023-03-13,TLT/IEF,CLOSE,,,,,,28.917444126526796,-1.0,360.55338368645005
2023-03-17,GLD/GDX,CLOSE,,,,,,12.617468274134367,-1.0,-495.385554533168
2023-03-23,TLT/IEF,OPEN,1.0,106.4,-246.73,93.98699188232422,89.63536071777344,27.926365832967733,,
2023-05-16,HYG/JNK,OPEN,1.0,160.82,-123.31,62.18146896362305,74.71175384521484,17.370137717458316,,
2023-05-19,HYG/JNK,CLOSE,,,,,,17.429168143967125,1.0,-4.594086245277611
2023-05-25,TLT/IEF,CLOSE,,,,,,27.028620583505976,1.0,40.26426992184958
2023-07-03,TLT/IEF,OPEN,-1.0,-109.75,246.52,91.11468505859376,86.91753387451172,27.37377187248152,,
2023-07-07,TLT/IEF,CLOSE,,,,,,26.895700285417142,-1.0,-36.70954025187773
2023-08-02,GLD/GDX,OPEN,-1.0,-55.68,170.59,179.60000610351562,28.267410278320312,13.857610659946811,,
2023-08-11,GLD/GDX,CLOSE,,,,,,13.792238575978882,-1.0,127.20979811579178
2023-08-16,HYG/JNK,OPEN,1.0,157.44,-123.26,63.51708984375,76.42911529541016,17.53672857798564,,
2023-08-16,GLD/GDX,OPEN,-1.0,-56.96,179.47,175.57000732421875,26.867555618286133,13.857610659946811,,
2023-08-29,HYG/JNK,CLOSE,,,,,,17.74784182130034,1.0,-9.95468312748494
2023-09-06,HYG/JNK,OPEN,1.0,156.6,-122.46,63.8575325012207,76.93051147460938,17.53672857798564,,
2023-09-11,HYG/JNK,CLOSE,,,,,,17.599124714565015,1.0,-1.499174383772548
2023-09-13,GLD/GDX,CLOSE,,,,,,14.04978069774571,-1.0,54.15223584018772
