date,pair,action,signal,cost,pnl
2023-01-04,GLD/GDX,OPEN,-1.0,12.555259389408866,
2023-01-04,HYG/JNK,OPEN,1.0,17.189562195720264,
2023-01-04,TLT/IEF,OPEN,-1.0,27.96452963963185,
2023-01-05,TLT/IEF,CLOSE,,27.97251190151732,-101.61519717735561
2023-01-05,TLT/IEF,OPEN,1.0,27.966362871701246,
2023-01-06,GLD/GDX,CLOSE,,12.65633421735664,-6.774785261729708
2023-01-06,GLD/GDX,OPEN,1.0,12.555259389408866,
2023-01-06,TLT/IEF,CLOSE,,28.341230753124712,-128.99503092110047
2023-01-06,TLT/IEF,OPEN,-1.0,27.950179888629382,
2023-01-09,HYG/JNK,CLOSE,,17.438141675026642,-11.891802668723345
2023-01-09,HYG/JNK,OPEN,-1.0,17.189562195720264,
2023-01-09,TLT/IEF,CLOSE,,28.037735132004755,-25.081368242992433
2023-01-09,TLT/IEF,OPEN,1.0,27.946992537417998,
2023-01-10,HYG/JNK,CLOSE,,17.170769050077965,-16.910109850419747
2023-01-10,HYG/JNK,OPEN,1.0,17.189562195720264,
2023-01-10,TLT/IEF,CLOSE,,27.703375029472603,-54.19102773024477
2023-01-10,TLT/IEF,OPEN,-1.0,27.9549266576718,
2023-01-11,TLT/IEF,CLOSE,,28.198664314467862,-48.567089195083895
2023-01-11,TLT/IEF,OPEN,1.0,27.94686544453834,
2023-01-12,TLT/IEF,CLOSE,,28.26216676819716,-28.746735072845965
2023-01-12,TLT/IEF,OPEN,-1.0,27.935775482632394,
2023-01-13,GLD/GDX,CLOSE,,12.876082549350595,167.52235774713068
2023-01-13,HYG/JNK,CLOSE,,17.383982426268247,-14.731675530373254
2023-01-13,HYG/JNK,OPEN,-1.0,17.189562195720264,
2023-01-13,TLT/IEF,CLOSE,,27.766568339399292,-51.82147397931612
2023-01-13,TLT/IEF,OPEN,1.0,27.942431099711257,
2023-01-17,GLD/GDX,OPEN,1.0,12.555259389408866,
2023-01-18,HYG/JNK,CLOSE,,17.15804685826336,-12.193767408202275
2023-01-18,HYG/JNK,OPEN,1.0,17.189562195720264,
2023-01-18,TLT/IEF,CLOSE,,28.26741043669851,-82.27246069305717
2023-01-18,TLT/IEF,OPEN,-1.0,27.92956169560953,
2023-01-19,HYG/JNK,CLOSE,,17.094950160037737,-16.52925968427412
2023-01-19,HYG/JNK,OPEN,-1.0,17.189562195720264,
2023-01-20,GLD/GDX,CLOSE,,12.704800918132724,-8.17983015190706
2023-01-20,GLD/GDX,OPEN,-1.0,12.555259389408866,
2023-01-23,HYG/JNK,CLOSE,,17.21278575984653,-25.01275746245378
2023-01-23,HYG/JNK,OPEN,1.0,17.189562195720264,
2023-01-23,TLT/IEF,CLOSE,,27.50681958129802,-16.48725777174143
2023-01-23,TLT/IEF,OPEN,1.0,27.944201242353547,
2023-01-24,GLD/GDX,CLOSE,,12.623867339778066,-37.300153399335265
2023-01-25,HYG/JNK,CLOSE,,17.203011542659393,-23.507701510267303
2023-01-25,HYG/JNK,OPEN,-1.0,17.189562195720264,
2023-01-26,HYG/JNK,CLOSE,,17.22798471200432,-19.064563834826366
2023-01-26,HYG/JNK,OPEN,1.0,17.189562195720264,
2023-01-27,HYG/JNK,CLOSE,,17.147046503690483,-24.218499820273447
